,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long
1,University of Alabama at Birmingham,Main Campus,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So",BIRMINGHAM,AL,352940110,1,"Public, 4-year or above",7590.0,11945.0,19535.0,6,1,3,3,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So, BIRMINGHAM, AL, 352940110","[33.5058651, -86.7994508]",33.5058651,-86.7994508
4,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899,1,"Public, 4-year or above",4833.0,3635.0,8468.0,1,2,0,0,"301 SPARKMAN DR, HUNTSVILLE, AL, 35899","[34.7251407, -86.6397853]",34.7251407,-86.6397853
6,The University of Alabama,Main Campus,1110 Jackson Ave,TUSCALOOSA,AL,354870180,1,"Public, 4-year or above",16589.0,21074.0,37663.0,21,4,1,11,"1110 Jackson Ave, TUSCALOOSA, AL, 354870180","[33.2052429, -87.5334862]",33.2052429,-87.5334862
12,Auburn University at Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,361173596,1,"Public, 4-year or above",1711.0,3167.0,4878.0,2,0,2,4,"7400 EAST DRIVE, MONTGOMERY, AL, 361173596","[32.367098, -86.1778645]",32.367098,-86.1778645
13,Auburn University,Auburn University,23 Samford Hall,Auburn,AL,36849,1,"Public, 4-year or above",14309.0,13981.0,28290.0,11,3,3,18,"23 Samford Hall, Auburn, AL, 36849","[32.6047401, -85.48279269999999]",32.6047401,-85.4827927
25,Birmingham Southern College,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,35254,2,"Private nonprofit, 4-year or above",635.0,658.0,1293.0,0,2,0,0,"900 Arkadelphia Road, Birmingham, AL, 35254","[33.5162196, -86.8500962]",33.5162196,-86.8500962
27,Concordia College Alabama,Main Campus,1712 Broad Street,SELMA,AL,36701,2,"Private nonprofit, 4-year or above",174.0,166.0,340.0,0,0,0,1,"1712 Broad Street, SELMA, AL, 36701","[32.4247261, -87.0215336]",32.4247261,-87.0215336
32,James H Faulkner State Community College,Main Campus - Bay Minette,1900 US HWY 31 South,Bay Minette,AL,365072698,4,"Public, 2-year",1806.0,2975.0,4781.0,0,0,0,1,"1900 US HWY 31 South, Bay Minette, AL, 365072698","[30.8516559, -87.7773586]",30.8516559,-87.7773586
44,Huntingdon College,Main Campus,1500 East Fairview Avenue,Montgomery,AL,361062148,2,"Private nonprofit, 4-year or above",587.0,561.0,1148.0,1,0,0,0,"1500 East Fairview Avenue, Montgomery, AL, 361062148","[32.350121, -86.285427]",32.350121,-86.285427
47,J F Ingram State Technical College,J.F. Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,4,"Public, 2-year",333.0,113.0,446.0,0,0,0,1,"5375 Ingram Rd, Deatsville, AL, 36022","[32.5812498, -86.3910341]",32.5812498,-86.3910341
48,Jacksonville State University,Main Campus,700 Pelham Road North,Jacksonville,AL,36265,1,"Public, 4-year or above",3601.0,4913.0,8514.0,0,0,1,0,"700 Pelham Road North, Jacksonville, AL, 36265","[33.8301421, -85.7608169]",33.8301421,-85.7608169
51,Jefferson State Community College,Jefferson,2601 CARSON RD,BIRMINGHAM,AL,352153098,4,"Public, 2-year",3473.0,5465.0,8938.0,1,0,0,0,"2601 CARSON RD, BIRMINGHAM, AL, 352153098","[33.6518095, -86.70808760000001]",33.6518095,-86.7080876
56,Lawson State Community College-Birmingham Campus,Lawson State Community College,3060 WILSON RD SW,BIRMINGHAM,AL,352211717,4,"Public, 2-year",1342.0,1786.0,3128.0,0,0,1,0,"3060 WILSON RD SW, BIRMINGHAM, AL, 352211717","[33.4510099, -86.88955]",33.4510099,-86.88955
58,University of West Alabama,University of West Alabama,STATION 1,LIVINGSTON,AL,35470,1,"Public, 4-year or above",1270.0,2716.0,3986.0,0,1,0,1,"STATION 1, LIVINGSTON, AL, 35470","[32.5971376, -88.1869512]",32.5971376,-88.1869512
62,Marion Military Institute,Main Campus,1101 Washington St.,Marion,AL,36756,4,"Public, 2-year",333.0,92.0,425.0,1,1,0,0,"1101 Washington St., Marion, AL, 36756","[32.6247265, -87.31848260000001]",32.6247265,-87.3184826
63,Miles College,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064,2,"Private nonprofit, 4-year or above",916.0,904.0,1820.0,0,1,5,6,"5500 Myron Massey Blvd, Fairfield, AL, 35064","[33.480831, -86.90826799999999]",33.480831,-86.908268
65,University of Montevallo,University of Montevallo,STATION 6001,MONTEVALLO,AL,35115,1,"Public, 4-year or above",870.0,1928.0,2798.0,0,3,0,0,"STATION 6001, MONTEVALLO, AL, 35115","[33.5350615, -86.5660626]",33.5350615,-86.5660626
68,University of North Alabama,Main Campus,1 Harrison Plaza- UNA Box 5067,FLORENCE,AL,356320001,1,"Public, 4-year or above",2961.0,4372.0,7333.0,2,1,1,1,"1 Harrison Plaza- UNA Box 5067, FLORENCE, AL, 356320001","[34.807113, -87.6791409]",34.807113,-87.6791409
71,Oakwood University,Oakwood University,7000 ADVENTIST BLVD NW,HUNTSVILLE,AL,358960003,2,"Private nonprofit, 4-year or above",744.0,1050.0,1794.0,0,0,1,2,"7000 ADVENTIST BLVD NW, HUNTSVILLE, AL, 358960003","[34.7529622, -86.6485379]",34.7529622,-86.6485379
91,Spring Hill College,Spring Hill College,4000 DAUPHIN ST,MOBILE,AL,366081791,2,"Private nonprofit, 4-year or above",556.0,920.0,1476.0,2,0,0,0,"4000 DAUPHIN ST, MOBILE, AL, 366081791","[30.6870019, -88.1354984]",30.6870019,-88.1354984
93,Talladega College,Talladega College Main Campus,627 W BATTLE ST,TALLADEGA,AL,35160,2,"Private nonprofit, 4-year or above",352.0,323.0,675.0,1,0,0,1,"627 W BATTLE ST, TALLADEGA, AL, 35160","[33.4327519, -86.1135613]",33.4327519,-86.1135613
94,H Councill Trenholm State Community College,Main Campus - Trenholm Campus,P.O. Box 10048,MONTGOMERY,AL,361083199,4,"Public, 2-year",811.0,850.0,1661.0,0,0,1,0,"P.O. Box 10048, MONTGOMERY, AL, 361083199","[31.2765941, -85.45508559999999]",31.2765941,-85.4550856
98,Troy University,Dothan Campus,501 University Drive,Dothan,AL,363040368,1,"Public, 4-year or above",6871.0,10984.0,17855.0,0,0,1,0,"501 University Drive, Dothan, AL, 363040368","[31.2843392, -85.4702112]",31.2843392,-85.4702112
106,University of Alaska Anchorage,Anchorage Campus,3211 Providence Dr,Anchorage,AK,99508,1,"Public, 4-year or above",6821.0,9497.0,16318.0,2,0,0,1,"3211 Providence Dr, Anchorage, AK, 99508","[61.19076019999999, -149.8180477]",61.1907602,-149.8180477
123,University of Alaska Southeast,Main Campus/Auke Bay,11066 Auke Lake Way,JUNEAU,AK,99801,1,"Public, 4-year or above",804.0,1759.0,2563.0,0,2,0,0,"11066 Auke Lake Way, JUNEAU, AK, 99801","[58.38552139999999, -134.6407459]",58.3855214,-134.6407459
142,Alaska Career College,Main Campus,1415 E Tudor Road,Anchorage,AK,995071033,6,"Private for-profit, 2-year",73.0,351.0,424.0,0,0,2,0,"1415 E Tudor Road, Anchorage, AK, 995071033","[61.18136479999999, -149.8570744]",61.1813648,-149.8570744
144,Thunderbird School of Global Management,MAIN CAMPUS,1 Global Place,GLENDALE,AZ,853066000,1,"Public, 4-year or above",167.0,130.0,297.0,1,1,0,0,"1 Global Place, GLENDALE, AZ, 853066000","[33.6224893, -112.1825592]",33.6224893,-112.1825592
155,Arizona State University-Tempe,Tempe Campus,325 E. Apache Blvd.,TEMPE,AZ,852871812,1,"Public, 4-year or above",29828.0,22041.0,51869.0,19,13,6,8,"325 E. Apache Blvd., TEMPE, AZ, 852871812","[33.4143327, -111.9344567]",33.4143327,-111.9344567
157,Arizona Western College,Main Campus,2020 S. Avenue 8E,YUMA,AZ,85365,4,"Public, 2-year",3314.0,4255.0,7569.0,0,1,0,0,"2020 S. Avenue 8E, YUMA, AZ, 85365","[32.688474, -114.4948775]",32.688474,-114.4948775
162,University of Arizona,Main Campus,1200 E. Univeristy,TUCSON,AZ,857210021,1,"Public, 4-year or above",20807.0,22354.0,43161.0,13,3,0,5,"1200 E. Univeristy, TUCSON, AZ, 857210021","[32.23188, -110.953889]",32.23188,-110.953889
165,Central Arizona College,Main Campus-Signal Peak,8470 N OVERFIELD RD,COOLIDGE,AZ,851289778,4,"Public, 2-year",2105.0,3480.0,5585.0,0,1,0,2,"8470 N OVERFIELD RD, COOLIDGE, AZ, 851289778","[32.9577551, -111.6521557]",32.9577551,-111.6521557
186,Glendale Community College,Main Campus,6000 W OLIVE AVE,GLENDALE,AZ,85302,4,"Public, 2-year",8760.0,10240.0,19000.0,0,1,0,0,"6000 W OLIVE AVE, GLENDALE, AZ, 85302","[33.5712484, -112.1874521]",33.5712484,-112.1874521
188,Grand Canyon University,Grand Canyon University,3300 W CAMELBACK RD,PHOENIX,AZ,85017,3,"Private for-profit, 4-year or above",20397.0,55437.0,75834.0,6,6,0,3,"3300 W CAMELBACK RD, PHOENIX, AZ, 85017","[33.5125699, -112.127371]",33.5125699,-112.127371
191,Mesa Community College,Mesa Community College,1833 W SOUTHERN AVE,MESA,AZ,85202,4,"Public, 2-year",9890.0,10618.0,20508.0,0,1,0,0,"1833 W SOUTHERN AVE, MESA, AZ, 85202","[33.3896376, -111.8694973]",33.3896376,-111.8694973
212,Northern Arizona University,NAU - Paradise Valley,18401 North 32nd St,Phoenix,AZ,85032,1,"Public, 4-year or above",12014.0,18347.0,30361.0,0,0,0,1,"18401 North 32nd St, Phoenix, AZ, 85032","[33.6515587, -112.0107791]",33.6515587,-112.0107791
218,Northern Arizona University,NAU - Thatcher Campus,615 North Stadium Dr,Thatcher,AZ,85552,1,"Public, 4-year or above",12014.0,18347.0,30361.0,0,0,0,1,"615 North Stadium Dr, Thatcher, AZ, 85552","[32.8433772, -109.7618877]",32.8433772,-109.7618877
246,Pima Community College,West Campus,2202 W. Anklam Rd.,Tucson,AZ,857090001,4,"Public, 2-year",11711.0,13245.0,24956.0,0,1,0,0,"2202 W. Anklam Rd., Tucson, AZ, 857090001","[32.2275798, -111.0165142]",32.2275798,-111.0165142
247,Pima Community College,Downtown Campus,1255 N. Stone Ave.,Tucson,AZ,857073000,4,"Public, 2-year",11711.0,13245.0,24956.0,0,1,0,0,"1255 N. Stone Ave., Tucson, AZ, 857073000","[32.238063, -110.9729998]",32.238063,-110.9729998
249,Pima Community College,East Campus,8181 E. Irvington Rd.,Tucson,AZ,857094000,4,"Public, 2-year",11711.0,13245.0,24956.0,0,0,1,0,"8181 E. Irvington Rd., Tucson, AZ, 857094000","[32.1661534, -110.8181788]",32.1661534,-110.8181788
255,Pima Community College,29th Street Coalition Center,4355 S. Calle Aurora,Tucson,AZ,857095520,4,"Public, 2-year",11711.0,13245.0,24956.0,0,1,0,0,"4355 S. Calle Aurora, Tucson, AZ, 857095520","[32.198612, -110.8991119]",32.198612,-110.8991119
275,Scottsdale Community College,Main Campus,9000 E CHAPARRAL RD,SCOTTSDALE,AZ,85256,4,"Public, 2-year",4450.0,5101.0,9551.0,0,0,0,1,"9000 E CHAPARRAL RD, SCOTTSDALE, AZ, 85256","[33.5094473, -111.8811177]",33.5094473,-111.8811177
280,Universal Technical Institute of Arizona Inc,"Universal Technical Institute of Arizona, Inc.",10695 West Pierce Street,Avondale,AZ,85323,6,"Private for-profit, 2-year",1831.0,65.0,1896.0,0,1,0,1,"10695 West Pierce Street, Avondale, AZ, 85323","[33.4528335, -112.2877665]",33.4528335,-112.2877665
289,University of Arkansas at Little Rock,"University of Arkansas, Little Rock",2801 S UNIVERSITY AVE,LITTLE ROCK,AR,72204,1,"Public, 4-year or above",4649.0,7097.0,11746.0,0,1,0,0,"2801 S UNIVERSITY AVE, LITTLE ROCK, AR, 72204","[34.7216432, -92.3415717]",34.7216432,-92.3415717
295,Arkansas Baptist College,Arkansas Baptist College,1621 Martin Luther King Drive,LITTLE ROCK,AR,722026099,2,"Private nonprofit, 4-year or above",603.0,275.0,878.0,0,0,1,3,"1621 Martin Luther King Drive, LITTLE ROCK, AR, 722026099","[34.73486380000001, -92.29049680000001]",34.7348638,-92.2904968
296,Arkansas Beauty School-Little Rock,Main Campus,8521 Geyer Springs Road Unit 30,LITTLE ROCK,AR,72209,9,"Private for-profit, less-than 2-year",6.0,83.0,89.0,0,0,1,0,"8521 Geyer Springs Road Unit 30, LITTLE ROCK, AR, 72209","[34.67215330000001, -92.34333699999999]",34.6721533,-92.343337
299,Arkansas College of Barbering and Hair Design,Arkansas College of Barbering and Hair Design,200 E WASHINGTON AVE,NORTH LITTLE ROCK,AR,72114,9,"Private for-profit, less-than 2-year",78.0,53.0,131.0,0,0,0,1,"200 E WASHINGTON AVE, NORTH LITTLE ROCK, AR, 72114","[34.7538955, -92.2664629]",34.7538955,-92.2664629
300,Arkansas College of Barbering and Hair Design,Arkansas College of Barbering and Hair Design,9100 North Rodney Parham Road,Little Rock,AR,72205,9,"Private for-profit, less-than 2-year",78.0,53.0,131.0,0,0,0,1,"9100 North Rodney Parham Road, Little Rock, AR, 72205","[34.7600585, -92.3751362]",34.7600585,-92.3751362
302,University of Arkansas,Main Campus,ADMINISTRATION BLDG 422,FAYETTEVILLE,AR,727011201,1,"Public, 4-year or above",13052.0,14142.0,27194.0,5,2,1,3,"ADMINISTRATION BLDG 422, FAYETTEVILLE, AR, 727011201","[36.0699791, -94.17697249999999]",36.0699791,-94.1769725
308,Arkansas State University-Main Campus,Arkansas State University-Jonesboro,PO Box 10,State University,AR,72467,1,"Public, 4-year or above",5625.0,8460.0,14085.0,7,0,0,2,"PO Box 10, State University, AR, 72467","[35.8417002, -90.6768986]",35.8417002,-90.6768986
309,Arkansas Tech University,Main Campus,"1509 N. Boulder Ave., Room 210",RUSSELLVILLE,AR,728012222,1,"Public, 4-year or above",5259.0,6635.0,11894.0,0,0,2,3,"1509 N. Boulder Ave., Room 210, RUSSELLVILLE, AR, 728012222","[35.293514, -93.13465330000001]",35.293514,-93.1346533
318,University of Central Arkansas,Main Campus,201 DONAGHEY AVE,CONWAY,AR,720350001,1,"Public, 4-year or above",4406.0,7081.0,11487.0,4,0,0,3,"201 DONAGHEY AVE, CONWAY, AR, 720350001","[35.079147, -92.454256]",35.079147,-92.454256
329,Harding University,Main Campus,900 E. Center,Searcy,AR,72149,2,"Private nonprofit, 4-year or above",2462.0,3440.0,5902.0,1,0,1,1,"900 E. Center, Searcy, AR, 72149","[35.248695, -91.727037]",35.248695,-91.727037
340,Henderson State University,Henderson State University,1100 HENDERSON ST,ARKADELPHIA,AR,719990001,1,"Public, 4-year or above",1462.0,2089.0,3551.0,1,2,1,2,"1100 HENDERSON ST, ARKADELPHIA, AR, 719990001","[34.1261026, -93.05873]",34.1261026,-93.05873
342,Hendrix College,Main Campus,1600 WASHINGTON AVE,CONWAY,AR,720323080,2,"Private nonprofit, 4-year or above",633.0,695.0,1328.0,6,12,0,1,"1600 WASHINGTON AVE, CONWAY, AR, 720323080","[35.1015319, -92.4432029]",35.1015319,-92.4432029
367,Ouachita Baptist University,Main Campus,410 OUACHITA ST,ARKADELPHIA,AR,719980001,2,"Private nonprofit, 4-year or above",698.0,795.0,1493.0,1,0,0,0,"410 OUACHITA ST, ARKADELPHIA, AR, 719980001","[34.125017, -93.0527941]",34.125017,-93.0527941
374,University of the Ozarks,Main Campus,415 N. College Ave.,Clarksville,AR,72830,2,"Private nonprofit, 4-year or above",339.0,347.0,686.0,1,0,0,0,"415 N. College Ave., Clarksville, AR, 72830","[35.4758733, -93.4662254]",35.4758733,-93.4662254
376,Philander Smith College,Philander Smith College,900 DAISY BATES DRIVE,LITTLE ROCK,AR,722023799,2,"Private nonprofit, 4-year or above",294.0,471.0,765.0,0,0,2,4,"900 DAISY BATES DRIVE, LITTLE ROCK, AR, 722023799","[34.73715019999999, -92.2829963]",34.7371502,-92.2829963
391,Southern Arkansas University Main Campus,Main Campus,100 E. University Street,MAGNOLIA,AR,71754,1,"Public, 4-year or above",2474.0,2297.0,4771.0,2,0,0,0,"100 E. University Street, MAGNOLIA, AR, 71754","[33.2926483, -93.2366409]",33.2926483,-93.2366409
392,Southern Arkansas University Tech,Main Campus,6415 Spellman Road,Camden,AR,71701,4,"Public, 2-year",409.0,371.0,780.0,0,0,0,1,"6415 Spellman Road, Camden, AR, 71701","[33.6322452, -92.7177303]",33.6322452,-92.7177303
394,University of Arkansas-Fort Smith,Main Campus,5210 Grand Ave,Fort Smith,AR,729133649,1,"Public, 4-year or above",2936.0,3648.0,6584.0,0,0,0,1,"5210 Grand Ave, Fort Smith, AR, 729133649","[35.3848407, -94.3726531]",35.3848407,-94.3726531
399,College of Alameda,Main Campus,555 Ralph Appezzato Memorial Parkway,ALAMEDA,CA,94501,4,"Public, 2-year",2809.0,3588.0,6397.0,0,0,0,3,"555 Ralph Appezzato Memorial Parkway, ALAMEDA, CA, 94501","[37.7807527, -122.2793068]",37.7807527,-122.2793068
408,American River College,Main Campus,4700 COLLEGE OAK DR,SACRAMENTO,CA,958414286,4,"Public, 2-year",15604.0,14915.0,30519.0,2,2,1,0,"4700 COLLEGE OAK DR, SACRAMENTO, CA, 958414286","[38.6524799, -121.3468812]",38.6524799,-121.3468812
412,Antelope Valley College,Main Campus,3041 West Avenue K,LANCASTER,CA,935365426,4,"Public, 2-year",5679.0,8426.0,14105.0,0,0,1,2,"3041 West Avenue K, LANCASTER, CA, 935365426","[34.6789518, -118.1854956]",34.6789518,-118.1854956
417,Azusa Pacific University,Azusa (main campus),901 E. Alosta Ave.,AZUSA,CA,917027000,2,"Private nonprofit, 4-year or above",3108.0,6912.0,10020.0,3,0,0,1,"901 E. Alosta Ave., AZUSA, CA, 917027000","[34.1291939, -117.8890242]",34.1291939,-117.8890242
425,Barstow Community College,Barstow Community College District,2700 BARSTOW RD,BARSTOW,CA,923116608,4,"Public, 2-year",1163.0,2122.0,3285.0,1,0,0,1,"2700 BARSTOW RD, BARSTOW, CA, 923116608","[34.87031810000001, -117.0233643]",34.8703181,-117.0233643
428,Biola University,Main Campus,13800 BIOLA AVE,LA MIRADA,CA,906390001,2,"Private nonprofit, 4-year or above",2734.0,3361.0,6095.0,1,0,0,0,"13800 BIOLA AVE, LA MIRADA, CA, 906390001","[33.9057332, -118.0179863]",33.9057332,-118.0179863
438,California Baptist University,Main Campus,8432 MAGNOLIA AVE,RIVERSIDE,CA,925043297,2,"Private nonprofit, 4-year or above",3185.0,5972.0,9157.0,1,3,0,0,"8432 MAGNOLIA AVE, RIVERSIDE, CA, 925043297","[33.9284053, -117.4255589]",33.9284053,-117.4255589
444,California College of the Arts,San Francisco Campus,1111 8th Street,San Francisco,CA,94107,2,"Private nonprofit, 4-year or above",715.0,1268.0,1983.0,0,0,1,0,"1111 8th Street, San Francisco, CA, 94107","[37.7673765, -122.399486]",37.7673765,-122.399486
447,California Lutheran University,Main Campus,60 W OLSEN RD,THOUSAND OAKS,CA,913602787,2,"Private nonprofit, 4-year or above",1738.0,2436.0,4174.0,2,1,0,2,"60 W OLSEN RD, THOUSAND OAKS, CA, 913602787","[34.2244935, -118.8772454]",34.2244935,-118.8772454
448,California Lutheran University,California Lutheran University Oxnard Campus,"2201 Outlet Center Drive, Suite 600",Oxnard,CA,93036,2,"Private nonprofit, 4-year or above",1738.0,2436.0,4174.0,0,1,0,0,"2201 Outlet Center Drive, Suite 600, Oxnard, CA, 93036","[34.2218615, -119.1486499]",34.2218615,-119.1486499
452,California Polytechnic State University-San Luis Obispo,Main Campus,1 Grand Avenue,SAN LUIS OBISPO,CA,93407,1,"Public, 4-year or above",11247.0,10059.0,21306.0,7,3,1,1,"1 Grand Avenue, SAN LUIS OBISPO, CA, 93407","[35.3004871, -120.6578793]",35.3004871,-120.6578793
454,Alliant International University-San Diego,Alliant International University - Fresno,5130 E. Clinton Way,Fresno,CA,93727,3,"Private for-profit, 4-year or above",1347.0,2656.0,4003.0,0,0,1,0,"5130 E. Clinton Way, Fresno, CA, 93727","[36.7667503, -119.7217002]",36.7667503,-119.7217002
461,California State University-Bakersfield,Main Campus,9001 STOCKDALE HWY,BAKERSFIELD,CA,933111022,1,"Public, 4-year or above",3592.0,5749.0,9341.0,0,4,0,0,"9001 STOCKDALE HWY, BAKERSFIELD, CA, 933111022","[35.350918, -119.1034303]",35.350918,-119.1034303
464,California State University-San Bernardino,"California State University, San Bernardino",5500 University Pkwy.,San Bernardino,CA,924072397,1,"Public, 4-year or above",8117.0,12650.0,20767.0,6,1,2,2,"5500 University Pkwy., San Bernardino, CA, 924072397","[34.1781636, -117.3221477]",34.1781636,-117.3221477
466,California State Polytechnic University-Pomona,Main Campus,3801 W TEMPLE AVE,POMONA,CA,91768,1,"Public, 4-year or above",13819.0,11507.0,25326.0,6,2,2,0,"3801 W TEMPLE AVE, POMONA, CA, 91768","[34.0597917, -117.8195142]",34.0597917,-117.8195142
468,California State University-Dominguez Hills,California State University Dominguez Hills,1000 E VICTORIA ST,CARSON,CA,907470005,1,"Public, 4-year or above",5274.0,9457.0,14731.0,1,1,1,3,"1000 E VICTORIA ST, CARSON, CA, 907470005","[33.8653106, -118.2590121]",33.8653106,-118.2590121
469,California State University-Fresno,Main Campus,5200 N BARTON AVE,FRESNO,CA,93740,1,"Public, 4-year or above",10081.0,14324.0,24405.0,0,3,2,0,"5200 N BARTON AVE, FRESNO, CA, 93740","[36.809608, -119.7493415]",36.809608,-119.7493415
475,California State University-East Bay,Main Campus,25800 CARLOS BEE BLVD,HAYWARD,CA,94542,1,"Public, 4-year or above",6151.0,9704.0,15855.0,4,1,1,0,"25800 CARLOS BEE BLVD, HAYWARD, CA, 94542","[37.6571283, -122.0567449]",37.6571283,-122.0567449
479,California State University-Los Angeles,"California State University, Los Angeles",5151 STATE UNIVERSITY DR,LOS ANGELES,CA,90032,1,"Public, 4-year or above",11658.0,16169.0,27827.0,4,3,0,3,"5151 STATE UNIVERSITY DR, LOS ANGELES, CA, 90032","[34.0667698, -118.1684392]",34.0667698,-118.1684392
480,California State University-Northridge,"California State University, Northridge",18111 NORDHOFF ST,NORTHRIDGE,CA,913308282,1,"Public, 4-year or above",17977.0,21939.0,39916.0,14,3,7,3,"18111 NORDHOFF ST, NORTHRIDGE, CA, 913308282","[34.2398277, -118.5262084]",34.2398277,-118.5262084
481,California State University-Sacramento,Sacramento State,6000 J Street,Sacramento,CA,958192694,1,"Public, 4-year or above",13234.0,17276.0,30510.0,1,2,2,1,"6000 J Street, Sacramento, CA, 958192694","[38.5634174, -121.4282078]",38.5634174,-121.4282078
482,University of California-Berkeley,Main Campus,Rm. 1 Sproul Hall,Berkeley,CA,947201199,1,"Public, 4-year or above",20049.0,20105.0,40154.0,33,16,10,8,"Rm. 1 Sproul Hall, Berkeley, CA, 947201199","[37.869565, -122.2587865]",37.869565,-122.2587865
484,University of California-Davis,Main Campus,One Shields Avenue,DAVIS,CA,956168678,1,"Public, 4-year or above",15217.0,21243.0,36460.0,8,3,1,1,"One Shields Avenue, DAVIS, CA, 956168678","[38.5386986, -121.7532308]",38.5386986,-121.7532308
485,University of California-Davis,UC Davis Medical Center,2315 Stockton Blvd.,Sacramento,CA,95817,1,"Public, 4-year or above",15217.0,21243.0,36460.0,1,3,1,3,"2315 Stockton Blvd., Sacramento, CA, 95817","[38.55490229999999, -121.4567505]",38.5549023,-121.4567505
486,University of California-Irvine,UCI Main Campus,"University of California, Irvine",IRVINE,CA,92697,1,"Public, 4-year or above",15816.0,16938.0,32754.0,20,16,2,3,"University of California, Irvine, IRVINE, CA, 92697","[33.6404952, -117.8442962]",33.6404952,-117.8442962
489,University of California-Riverside,Main Campus,900 UNIVERSITY AVE,RIVERSIDE,CA,92521,1,"Public, 4-year or above",10881.0,11834.0,22715.0,5,7,6,1,"900 UNIVERSITY AVE, RIVERSIDE, CA, 92521","[33.9754243, -117.3315961]",33.9754243,-117.3315961
491,University of California-San Francisco,Main Campus - Parnassus,500 Parnassus Ave,San Francisco,CA,941430402,1,"Public, 4-year or above",1155.0,1990.0,3145.0,0,3,1,4,"500 Parnassus Ave, San Francisco, CA, 941430402","[37.7640712, -122.4585776]",37.7640712,-122.4585776
492,University of California-San Francisco,Mission Bay,550 16th Street,San Francisco,CA,941430402,1,"Public, 4-year or above",1155.0,1990.0,3145.0,0,2,1,0,"550 16th Street, San Francisco, CA, 941430402","[37.7675502, -122.3903803]",37.7675502,-122.3903803
496,University of California-Santa Barbara,University of California Santa Barbara,Public Safety Building 574,SANTA BARBARA,CA,931061010,1,"Public, 4-year or above",11625.0,12721.0,24346.0,17,4,0,13,"Public Safety Building 574, SANTA BARBARA, CA, 931061010","[34.4139629, -119.848947]",34.4139629,-119.848947
497,University of California-Santa Cruz,Main Campus,1156 HIGH ST,SANTA CRUZ,CA,95064,1,"Public, 4-year or above",9388.0,9395.0,18783.0,6,14,1,4,"1156 HIGH ST, SANTA CRUZ, CA, 95064","[37.000369, -122.0632371]",37.000369,-122.0632371
503,California Institute of the Arts,Main Campus,24700 W MCBEAN PKY,VALENCIA,CA,913552397,2,"Private nonprofit, 4-year or above",615.0,840.0,1455.0,1,6,0,5,"24700 W MCBEAN PKY, VALENCIA, CA, 913552397","[34.3929413, -118.5678283]",34.3929413,-118.5678283
504,The California Maritime Academy,California State University Maritime Academy,200 Maritime Academy Drive,Vallejo,CA,945908181,1,"Public, 4-year or above",921.0,186.0,1107.0,1,0,0,0,"200 Maritime Academy Drive, Vallejo, CA, 945908181","[38.0692105, -122.2325063]",38.0692105,-122.2325063
516,Cerritos College,Main Campus,11110 ALONDRA BLVD,NORWALK,CA,906506298,4,"Public, 2-year",9545.0,11434.0,20979.0,0,2,1,0,"11110 ALONDRA BLVD, NORWALK, CA, 906506298","[33.8850171, -118.0973168]",33.8850171,-118.0973168
522,Chabot College,Chabot College Campus,25555 HESPERIAN BLVD,HAYWARD,CA,945454918,4,"Public, 2-year",6361.0,7381.0,13742.0,0,1,0,0,"25555 HESPERIAN BLVD, HAYWARD, CA, 945454918","[37.6398046, -122.1069105]",37.6398046,-122.1069105
524,Chaffey College,Rancho Campus,5885 HAVEN AVE,RANCHO CUCAMONGA,CA,917373002,4,"Public, 2-year",9258.0,12744.0,22002.0,0,3,0,1,"5885 HAVEN AVE, RANCHO CUCAMONGA, CA, 917373002","[34.1466357, -117.5748314]",34.1466357,-117.5748314
525,Chapman University,Orange Campus,One University Dr.,ORANGE,CA,928661011,2,"Private nonprofit, 4-year or above",3401.0,5141.0,8542.0,6,1,0,0,"One University Dr., ORANGE, CA, 928661011","[33.7930016, -117.8524805]",33.7930016,-117.8524805
527,Charles R Drew University of Medicine and Science,Main Campus,1731 E 120TH ST,LOS ANGELES,CA,90059,2,"Private nonprofit, 4-year or above",122.0,337.0,459.0,0,0,0,2,"1731 E 120TH ST, LOS ANGELES, CA, 90059","[33.9256333, -118.242526]",33.9256333,-118.242526
528,Concordia University-Irvine,Main Campus,1530 Concordia West,Irvine,CA,926123299,2,"Private nonprofit, 4-year or above",1731.0,2568.0,4299.0,1,1,0,0,"1530 Concordia West, Irvine, CA, 926123299","[33.6545502, -117.8123154]",33.6545502,-117.8123154
539,City College of San Francisco,Chinatown/ North Beach Campus,808 Kearny St.,San Francisco,CA,94108,4,"Public, 2-year",9949.0,11240.0,21189.0,0,0,1,0,"808 Kearny St., San Francisco, CA, 94108","[37.795611, -122.4046939]",37.795611,-122.4046939
547,Claremont McKenna College,Main Campus,500 E 9TH ST,CLAREMONT,CA,917116400,2,"Private nonprofit, 4-year or above",689.0,658.0,1347.0,10,6,1,0,"500 E 9TH ST, CLAREMONT, CA, 917116400","[34.1020742, -117.7064979]",34.1020742,-117.7064979
