,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE15,FONDL15,ROBBE15,AGG_A15,geo_address,lat_lng
4,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899,1,"Public, 4-year or above",4464.0,3402.0,7866.0,2,3,2,1,"301 SPARKMAN DR HUNTSVILLE, AL",
64,University of Montevallo,University of Montevallo,STATION 6001,MONTEVALLO,AL,35115,1,"Public, 4-year or above",968.0,2063.0,3031.0,1,1,1,0,"STATION 6001 MONTEVALLO, AL",
89,Spring Hill College,Spring Hill College,4000 DAUPHIN ST,MOBILE,AL,366081791,2,"Private nonprofit, 4-year or above",592.0,887.0,1479.0,2,1,0,0,"4000 DAUPHIN ST MOBILE, AL",
102,Tuskegee University,TUSKEGEE UNIVERSITY,"Kresge Center, 3rd Floor RM 310",Tuskegee,AL,360881920,2,"Private nonprofit, 4-year or above",1187.0,1809.0,2996.0,1,0,1,3,"Kresge Center, 3rd Floor RM 310 Tuskegee, AL",
122,University of Alaska Southeast,Main Campus/Auke Bay,11066 Auke Lake Way,JUNEAU,AK,99801,1,"Public, 4-year or above",929.0,1871.0,2800.0,0,2,0,0,"11066 Auke Lake Way JUNEAU, AK",
158,University of Arizona,Main Campus,1200 E. Univeristy,TUCSON,AZ,857210021,1,"Public, 4-year or above",20628.0,21967.0,42595.0,10,1,1,2,"1200 E. Univeristy TUCSON, AZ",
197,Dine College,Main Campus,"Route 12, NHC Bldg. 1st Floor, Room 113",TSAILE,AZ,86556,1,"Public, 4-year or above",473.0,1017.0,1490.0,0,0,0,1,"Route 12, NHC Bldg. 1st Floor, Room 113 TSAILE, AZ",
198,Dine College,Shiprock,Box 580,Shiprock,NM,87420,1,"Public, 4-year or above",473.0,1017.0,1490.0,0,0,0,1,"Box 580 Shiprock, NM",
203,Northern Arizona University,Flagstaff Mountain Campus,"Knoles Drive, Babbit Administrative Ctr",FLAGSTAFF,AZ,860114132,1,"Public, 4-year or above",11617.0,17404.0,29021.0,20,3,0,3,"Knoles Drive, Babbit Administrative Ctr FLAGSTAFF, AZ",
293,University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences,4301 W MARKHAM SLOT 583,LITTLE ROCK,AR,72205,1,"Public, 4-year or above",1004.0,2017.0,3021.0,0,3,0,1,"4301 W MARKHAM SLOT 583 LITTLE ROCK, AR",
304,University of Arkansas at Pine Bluff,UAPB - University of Arkansas at Pine Bluff,1200 N UNIVERSITY MAIL SLOT 4967,PINE BLUFF,AR,716014967,1,"Public, 4-year or above",1166.0,1492.0,2658.0,0,0,1,0,"1200 N UNIVERSITY MAIL SLOT 4967 PINE BLUFF, AR",
318,University of Central Arkansas,Main Campus,201 DONAGHEY AVE,CONWAY,AR,720350001,1,"Public, 4-year or above",4544.0,7210.0,11754.0,2,0,0,2,"201 DONAGHEY AVE CONWAY, AR",
446,California Institute of Technology,Main Campus,"1200 E CALIFORNIA BLVD, MC 200-63",PASADENA,CA,91125,2,"Private nonprofit, 4-year or above",1518.0,737.0,2255.0,4,0,1,0,"1200 E CALIFORNIA BLVD, MC 200-63 PASADENA, CA",
453,Alliant International University-San Diego,Alliant International University - Fresno,5130 E. Clinton Way,Fresno,CA,93727,3,"Private for-profit, 4-year or above",1109.0,2400.0,3509.0,0,0,1,0,"5130 E. Clinton Way Fresno, CA",
458,Alliant International University-San Diego,San Fransisco Law School,20 Haight Street,San Francisco,CA,94102,3,"Private for-profit, 4-year or above",1109.0,2400.0,3509.0,0,0,0,1,"20 Haight Street San Francisco, CA",
468,California State University-Fresno,Main Campus,5200 N BARTON AVE,FRESNO,CA,93740,1,"Public, 4-year or above",10052.0,14084.0,24136.0,1,0,0,2,"5200 N BARTON AVE FRESNO, CA",
481,University of California-Berkeley,Main Campus,Rm. 1 Sproul Hall,Berkeley,CA,947201199,1,"Public, 4-year or above",18966.0,19223.0,38189.0,13,24,9,7,"Rm. 1 Sproul Hall Berkeley, CA",
489,University of California-San Diego,Main Campus,9500 Gilman Dr Mail Code 0005,La Jolla,CA,920930005,1,"Public, 4-year or above",17822.0,15084.0,32906.0,7,7,1,4,"9500 Gilman Dr Mail Code 0005 La Jolla, CA",
511,CET-Sobrato,CET-San Jose Main Campus,701 VINE ST,SAN JOSE,CA,95110,8,"Private nonprofit, less-than 2-year",223.0,208.0,431.0,0,0,1,0,"701 VINE ST SAN JOSE, CA",
637,Humboldt State University,Humboldt State University,1 HARPST STREET,ARCATA,CA,955218299,1,"Public, 4-year or above",3843.0,4947.0,8790.0,6,3,0,8,"1 HARPST STREET ARCATA, CA",
686,Los Angeles Trade Technical College,Los Angeles Trade Technical College,400 W. Washington Blvd.,Los Angeles,CA,900154181,4,"Public, 2-year",7741.0,6909.0,14650.0,1,0,2,0,"400 W. Washington Blvd. Los Angeles, CA",
721,Mission College,Mission College,3000 Mission College Blvd,Santa Clara,CA,95054,4,"Public, 2-year",3861.0,4715.0,8576.0,0,0,2,1,"3000 Mission College Blvd Santa Clara, CA",
724,Modesto Junior College,MJC/East Campus,435 COLLEGE AVE,MODESTO,CA,953505800,4,"Public, 2-year",7558.0,10181.0,17739.0,0,0,0,1,"435 COLLEGE AVE MODESTO, CA",
878,University of San Diego,UNIVERSITY OF SAN DIEGO,5998 ALCALA PARK,SAN DIEGO,CA,921102492,2,"Private nonprofit, 4-year or above",3602.0,4649.0,8251.0,3,0,0,0,"5998 ALCALA PARK SAN DIEGO, CA",
948,Skyline College,Skyline College,3300 COLLEGE DRIVE,SAN BRUNO,CA,940661698,4,"Public, 2-year",4524.0,5157.0,9681.0,0,0,0,1,"3300 COLLEGE DRIVE SAN BRUNO, CA",
1005,Woodbury University,Woodbury University - Burbank Campus,7500 GLENOAKS BLVD,BURBANK,CA,915107846,2,"Private nonprofit, 4-year or above",726.0,731.0,1457.0,1,0,0,1,"7500 GLENOAKS BLVD BURBANK, CA",
1025,University of Colorado Denver/Anschutz Medical Campus,UCDHSC - Anschutz Medical Campus,"Mail Stop F409, P.O. Box 6508",Aurora,CO,800450508,1,"Public, 4-year or above",10090.0,13581.0,23671.0,1,1,1,1,"Mail Stop F409, P.O. Box 6508 Aurora, CO",
1268,Eastern Florida State College,Eastern Florida State College-Titusville Campus,1311 North U.S 1,Titusville,FL,32796,1,"Public, 4-year or above",6349.0,9244.0,15593.0,1,0,0,0,"1311 North U.S 1 Titusville, FL",
1289,University of Central Florida,Main Campus,4000 Central Florida Blvd.,ORLANDO,FL,32816,1,"Public, 4-year or above",28282.0,34671.0,62953.0,11,7,5,8,"4000 Central Florida Blvd. ORLANDO, FL",
1327,Florida Atlantic University,Boca Raton,777 GLADES RD,BOCA RATON,FL,334310991,1,"Public, 4-year or above",13072.0,17308.0,30380.0,5,0,0,1,"777 GLADES RD BOCA RATON, FL",
1351,Florida International University,Biscayne Bay Campus,3000 NE 15th St,Miami,FL,33181,1,"Public, 4-year or above",21858.0,27924.0,49782.0,0,0,0,1,"3000 NE 15th St Miami, FL",
1363,Florida Southern College,Main Campus,111 LAKE HOLLINGSWORTH DR,LAKELAND,FL,338015698,2,"Private nonprofit, 4-year or above",1010.0,1859.0,2869.0,1,1,0,0,"111 LAKE HOLLINGSWORTH DR LAKELAND, FL",
1374,University of Florida,University of Florida Jacksonville Regional Campus,648 West 11th St.,Jacksonville,FL,32209,1,"Public, 4-year or above",23195.0,27450.0,50645.0,0,0,1,1,"648 West 11th St. Jacksonville, FL",
1379,Full Sail University,Main Campus,3300 UNIVERSITY BLVD,WINTER PARK,FL,327927429,3,"Private for-profit, 4-year or above",14228.0,5797.0,20025.0,0,1,7,0,"3300 UNIVERSITY BLVD WINTER PARK, FL",
1564,University of South Florida-Main Campus,USF Tampa Campus,4202 EAST FOWLER AVE  UPB002,TAMPA,FL,336209951,1,"Public, 4-year or above",18923.0,23144.0,42067.0,3,2,7,1,"4202 EAST FOWLER AVE  UPB002 TAMPA, FL",
1619,Armstrong State University,Armstrong State University,11935 ABERCORN ST,SAVANNAH,GA,314191997,1,"Public, 4-year or above",2317.0,4786.0,7103.0,0,0,0,1,"11935 ABERCORN ST SAVANNAH, GA",
1624,Point University,Main Campus,507 W. 10th Street,West Point,GA,31833,2,"Private nonprofit, 4-year or above",791.0,791.0,1582.0,1,0,0,0,"507 W. 10th Street West Point, GA",
1683,Georgia Highlands College,Georgia Highlands College-Floyd Campus,3175  Cedartown Hwy.,ROME,GA,30161,1,"Public, 4-year or above",2148.0,3598.0,5746.0,0,0,1,0,"3175  Cedartown Hwy. ROME, GA",
1699,Georgia Southern University,Georgia Southern University,1332 Southern Drive,STATESBORO,GA,30460,1,"Public, 4-year or above",9786.0,10673.0,20459.0,4,0,3,1,"1332 Southern Drive STATESBORO, GA",
1777,University of Hawaii at Hilo,University of Hawaii at Hilo,200 W KAWILI ST,HILO,HI,967204091,1,"Public, 4-year or above",1464.0,2365.0,3829.0,0,1,1,0,"200 W KAWILI ST HILO, HI",
