,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long,Assault,Robbery,Fondling,Rape,AGG_A16_hover_text,ROBBE16_hover_text,FONDL16_hover_text,RAPE16_hover_text
1,University of Alabama at Birmingham,Main Campus,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So",BIRMINGHAM,AL,352940110,1,"Public, 4-year or above",7590.0,11945.0,19535.0,6,1,3,3,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So, BIRMINGHAM, AL, 352940110","[33.5058651, -86.7994508]",33.5058651,-86.7994508,0.2,0.2,0.1,0.3,"University of Alabama at Birmingham<br>Birmingham, AL<br>Crime Count: 3<br>Enrollment: 19535<br>Rate per 1000 students: 0.2","University of Alabama at Birmingham<br>Birmingham, AL<br>Crime Count: 3<br>Enrollment: 19535<br>Rate per 1000 students: 0.2","University of Alabama at Birmingham<br>Birmingham, AL<br>Crime Count: 1<br>Enrollment: 19535<br>Rate per 1000 students: 0.1","University of Alabama at Birmingham<br>Birmingham, AL<br>Crime Count: 6<br>Enrollment: 19535<br>Rate per 1000 students: 0.3"
4,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899,1,"Public, 4-year or above",4833.0,3635.0,8468.0,1,2,0,0,"301 SPARKMAN DR, HUNTSVILLE, AL, 35899","[34.7251407, -86.6397853]",34.7251407,-86.6397853,0.0,0.0,0.2,0.1,"University of Alabama in Huntsville<br>Huntsville, AL<br>Crime Count: 0<br>Enrollment: 8468<br>Rate per 1000 students: 0.0","University of Alabama in Huntsville<br>Huntsville, AL<br>Crime Count: 0<br>Enrollment: 8468<br>Rate per 1000 students: 0.0","University of Alabama in Huntsville<br>Huntsville, AL<br>Crime Count: 2<br>Enrollment: 8468<br>Rate per 1000 students: 0.2","University of Alabama in Huntsville<br>Huntsville, AL<br>Crime Count: 1<br>Enrollment: 8468<br>Rate per 1000 students: 0.1"
6,The University of Alabama,Main Campus,1110 Jackson Ave,TUSCALOOSA,AL,354870180,1,"Public, 4-year or above",16589.0,21074.0,37663.0,21,4,1,11,"1110 Jackson Ave, TUSCALOOSA, AL, 354870180","[33.2052429, -87.5334862]",33.2052429,-87.5334862,0.3,0.0,0.1,0.6,"The University of Alabama<br>Tuscaloosa, AL<br>Crime Count: 11<br>Enrollment: 37663<br>Rate per 1000 students: 0.3","The University of Alabama<br>Tuscaloosa, AL<br>Crime Count: 1<br>Enrollment: 37663<br>Rate per 1000 students: 0.0","The University of Alabama<br>Tuscaloosa, AL<br>Crime Count: 4<br>Enrollment: 37663<br>Rate per 1000 students: 0.1","The University of Alabama<br>Tuscaloosa, AL<br>Crime Count: 21<br>Enrollment: 37663<br>Rate per 1000 students: 0.6"
12,Auburn University at Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,361173596,1,"Public, 4-year or above",1711.0,3167.0,4878.0,2,0,2,4,"7400 EAST DRIVE, MONTGOMERY, AL, 361173596","[32.367098, -86.1778645]",32.367098,-86.1778645,0.8,0.4,0.0,0.4,"Auburn University at Montgomery<br>Montgomery, AL<br>Crime Count: 4<br>Enrollment: 4878<br>Rate per 1000 students: 0.8","Auburn University at Montgomery<br>Montgomery, AL<br>Crime Count: 2<br>Enrollment: 4878<br>Rate per 1000 students: 0.4","Auburn University at Montgomery<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 4878<br>Rate per 1000 students: 0.0","Auburn University at Montgomery<br>Montgomery, AL<br>Crime Count: 2<br>Enrollment: 4878<br>Rate per 1000 students: 0.4"
13,Auburn University,Auburn University,23 Samford Hall,Auburn,AL,36849,1,"Public, 4-year or above",14309.0,13981.0,28290.0,11,3,3,18,"23 Samford Hall, Auburn, AL, 36849","[32.6047401, -85.48279269999999]",32.6047401,-85.4827927,0.6,0.1,0.1,0.4,"Auburn University<br>Auburn, AL<br>Crime Count: 18<br>Enrollment: 28290<br>Rate per 1000 students: 0.6","Auburn University<br>Auburn, AL<br>Crime Count: 3<br>Enrollment: 28290<br>Rate per 1000 students: 0.1","Auburn University<br>Auburn, AL<br>Crime Count: 3<br>Enrollment: 28290<br>Rate per 1000 students: 0.1","Auburn University<br>Auburn, AL<br>Crime Count: 11<br>Enrollment: 28290<br>Rate per 1000 students: 0.4"
25,Birmingham Southern College,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,35254,2,"Private nonprofit, 4-year or above",635.0,658.0,1293.0,0,2,0,0,"900 Arkadelphia Road, Birmingham, AL, 35254","[33.5162196, -86.8500962]",33.5162196,-86.8500962,0.0,0.0,1.5,0.0,"Birmingham Southern College<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 1293<br>Rate per 1000 students: 0.0","Birmingham Southern College<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 1293<br>Rate per 1000 students: 0.0","Birmingham Southern College<br>Birmingham, AL<br>Crime Count: 2<br>Enrollment: 1293<br>Rate per 1000 students: 1.5","Birmingham Southern College<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 1293<br>Rate per 1000 students: 0.0"
27,Concordia College Alabama,Main Campus,1712 Broad Street,SELMA,AL,36701,2,"Private nonprofit, 4-year or above",174.0,166.0,340.0,0,0,0,1,"1712 Broad Street, SELMA, AL, 36701","[32.4247261, -87.0215336]",32.4247261,-87.0215336,2.9,0.0,0.0,0.0,"Concordia College Alabama<br>Selma, AL<br>Crime Count: 1<br>Enrollment: 340<br>Rate per 1000 students: 2.9","Concordia College Alabama<br>Selma, AL<br>Crime Count: 0<br>Enrollment: 340<br>Rate per 1000 students: 0.0","Concordia College Alabama<br>Selma, AL<br>Crime Count: 0<br>Enrollment: 340<br>Rate per 1000 students: 0.0","Concordia College Alabama<br>Selma, AL<br>Crime Count: 0<br>Enrollment: 340<br>Rate per 1000 students: 0.0"
32,James H Faulkner State Community College,Main Campus - Bay Minette,1900 US HWY 31 South,Bay Minette,AL,365072698,4,"Public, 2-year",1806.0,2975.0,4781.0,0,0,0,1,"1900 US HWY 31 South, Bay Minette, AL, 365072698","[30.8516559, -87.7773586]",30.8516559,-87.7773586,0.2,0.0,0.0,0.0,"James H Faulkner State Community College<br>Bay Minette, AL<br>Crime Count: 1<br>Enrollment: 4781<br>Rate per 1000 students: 0.2","James H Faulkner State Community College<br>Bay Minette, AL<br>Crime Count: 0<br>Enrollment: 4781<br>Rate per 1000 students: 0.0","James H Faulkner State Community College<br>Bay Minette, AL<br>Crime Count: 0<br>Enrollment: 4781<br>Rate per 1000 students: 0.0","James H Faulkner State Community College<br>Bay Minette, AL<br>Crime Count: 0<br>Enrollment: 4781<br>Rate per 1000 students: 0.0"
44,Huntingdon College,Main Campus,1500 East Fairview Avenue,Montgomery,AL,361062148,2,"Private nonprofit, 4-year or above",587.0,561.0,1148.0,1,0,0,0,"1500 East Fairview Avenue, Montgomery, AL, 361062148","[32.350121, -86.285427]",32.350121,-86.285427,0.0,0.0,0.0,0.9,"Huntingdon College<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 1148<br>Rate per 1000 students: 0.0","Huntingdon College<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 1148<br>Rate per 1000 students: 0.0","Huntingdon College<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 1148<br>Rate per 1000 students: 0.0","Huntingdon College<br>Montgomery, AL<br>Crime Count: 1<br>Enrollment: 1148<br>Rate per 1000 students: 0.9"
47,J F Ingram State Technical College,J.F. Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,4,"Public, 2-year",333.0,113.0,446.0,0,0,0,1,"5375 Ingram Rd, Deatsville, AL, 36022","[32.5812498, -86.3910341]",32.5812498,-86.3910341,2.2,0.0,0.0,0.0,"J F Ingram State Technical College<br>Deatsville, AL<br>Crime Count: 1<br>Enrollment: 446<br>Rate per 1000 students: 2.2","J F Ingram State Technical College<br>Deatsville, AL<br>Crime Count: 0<br>Enrollment: 446<br>Rate per 1000 students: 0.0","J F Ingram State Technical College<br>Deatsville, AL<br>Crime Count: 0<br>Enrollment: 446<br>Rate per 1000 students: 0.0","J F Ingram State Technical College<br>Deatsville, AL<br>Crime Count: 0<br>Enrollment: 446<br>Rate per 1000 students: 0.0"
48,Jacksonville State University,Main Campus,700 Pelham Road North,Jacksonville,AL,36265,1,"Public, 4-year or above",3601.0,4913.0,8514.0,0,0,1,0,"700 Pelham Road North, Jacksonville, AL, 36265","[33.8301421, -85.7608169]",33.8301421,-85.7608169,0.0,0.1,0.0,0.0,"Jacksonville State University<br>Jacksonville, AL<br>Crime Count: 0<br>Enrollment: 8514<br>Rate per 1000 students: 0.0","Jacksonville State University<br>Jacksonville, AL<br>Crime Count: 1<br>Enrollment: 8514<br>Rate per 1000 students: 0.1","Jacksonville State University<br>Jacksonville, AL<br>Crime Count: 0<br>Enrollment: 8514<br>Rate per 1000 students: 0.0","Jacksonville State University<br>Jacksonville, AL<br>Crime Count: 0<br>Enrollment: 8514<br>Rate per 1000 students: 0.0"
51,Jefferson State Community College,Jefferson,2601 CARSON RD,BIRMINGHAM,AL,352153098,4,"Public, 2-year",3473.0,5465.0,8938.0,1,0,0,0,"2601 CARSON RD, BIRMINGHAM, AL, 352153098","[33.6518095, -86.70808760000001]",33.6518095,-86.7080876,0.0,0.0,0.0,0.1,"Jefferson State Community College<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 8938<br>Rate per 1000 students: 0.0","Jefferson State Community College<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 8938<br>Rate per 1000 students: 0.0","Jefferson State Community College<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 8938<br>Rate per 1000 students: 0.0","Jefferson State Community College<br>Birmingham, AL<br>Crime Count: 1<br>Enrollment: 8938<br>Rate per 1000 students: 0.1"
56,Lawson State Community College-Birmingham Campus,Lawson State Community College,3060 WILSON RD SW,BIRMINGHAM,AL,352211717,4,"Public, 2-year",1342.0,1786.0,3128.0,0,0,1,0,"3060 WILSON RD SW, BIRMINGHAM, AL, 352211717","[33.4510099, -86.88955]",33.4510099,-86.88955,0.0,0.3,0.0,0.0,"Lawson State Community College-Birmingham Campus<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 3128<br>Rate per 1000 students: 0.0","Lawson State Community College-Birmingham Campus<br>Birmingham, AL<br>Crime Count: 1<br>Enrollment: 3128<br>Rate per 1000 students: 0.3","Lawson State Community College-Birmingham Campus<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 3128<br>Rate per 1000 students: 0.0","Lawson State Community College-Birmingham Campus<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 3128<br>Rate per 1000 students: 0.0"
58,University of West Alabama,University of West Alabama,STATION 1,LIVINGSTON,AL,35470,1,"Public, 4-year or above",1270.0,2716.0,3986.0,0,1,0,1,"STATION 1, LIVINGSTON, AL, 35470","[32.5971376, -88.1869512]",32.5971376,-88.1869512,0.3,0.0,0.3,0.0,"University of West Alabama<br>Livingston, AL<br>Crime Count: 1<br>Enrollment: 3986<br>Rate per 1000 students: 0.3","University of West Alabama<br>Livingston, AL<br>Crime Count: 0<br>Enrollment: 3986<br>Rate per 1000 students: 0.0","University of West Alabama<br>Livingston, AL<br>Crime Count: 1<br>Enrollment: 3986<br>Rate per 1000 students: 0.3","University of West Alabama<br>Livingston, AL<br>Crime Count: 0<br>Enrollment: 3986<br>Rate per 1000 students: 0.0"
62,Marion Military Institute,Main Campus,1101 Washington St.,Marion,AL,36756,4,"Public, 2-year",333.0,92.0,425.0,1,1,0,0,"1101 Washington St., Marion, AL, 36756","[32.6247265, -87.31848260000001]",32.6247265,-87.3184826,0.0,0.0,2.4,2.4,"Marion Military Institute<br>Marion, AL<br>Crime Count: 0<br>Enrollment: 425<br>Rate per 1000 students: 0.0","Marion Military Institute<br>Marion, AL<br>Crime Count: 0<br>Enrollment: 425<br>Rate per 1000 students: 0.0","Marion Military Institute<br>Marion, AL<br>Crime Count: 1<br>Enrollment: 425<br>Rate per 1000 students: 2.4","Marion Military Institute<br>Marion, AL<br>Crime Count: 1<br>Enrollment: 425<br>Rate per 1000 students: 2.4"
63,Miles College,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064,2,"Private nonprofit, 4-year or above",916.0,904.0,1820.0,0,1,5,6,"5500 Myron Massey Blvd, Fairfield, AL, 35064","[33.480831, -86.90826799999999]",33.480831,-86.908268,3.3,2.7,0.5,0.0,"Miles College<br>Fairfield, AL<br>Crime Count: 6<br>Enrollment: 1820<br>Rate per 1000 students: 3.3","Miles College<br>Fairfield, AL<br>Crime Count: 5<br>Enrollment: 1820<br>Rate per 1000 students: 2.7","Miles College<br>Fairfield, AL<br>Crime Count: 1<br>Enrollment: 1820<br>Rate per 1000 students: 0.5","Miles College<br>Fairfield, AL<br>Crime Count: 0<br>Enrollment: 1820<br>Rate per 1000 students: 0.0"
65,University of Montevallo,University of Montevallo,STATION 6001,MONTEVALLO,AL,35115,1,"Public, 4-year or above",870.0,1928.0,2798.0,0,3,0,0,"STATION 6001, MONTEVALLO, AL, 35115","[33.5350615, -86.5660626]",33.5350615,-86.5660626,0.0,0.0,1.1,0.0,"University of Montevallo<br>Montevallo, AL<br>Crime Count: 0<br>Enrollment: 2798<br>Rate per 1000 students: 0.0","University of Montevallo<br>Montevallo, AL<br>Crime Count: 0<br>Enrollment: 2798<br>Rate per 1000 students: 0.0","University of Montevallo<br>Montevallo, AL<br>Crime Count: 3<br>Enrollment: 2798<br>Rate per 1000 students: 1.1","University of Montevallo<br>Montevallo, AL<br>Crime Count: 0<br>Enrollment: 2798<br>Rate per 1000 students: 0.0"
68,University of North Alabama,Main Campus,1 Harrison Plaza- UNA Box 5067,FLORENCE,AL,356320001,1,"Public, 4-year or above",2961.0,4372.0,7333.0,2,1,1,1,"1 Harrison Plaza- UNA Box 5067, FLORENCE, AL, 356320001","[34.807113, -87.6791409]",34.807113,-87.6791409,0.1,0.1,0.1,0.3,"University of North Alabama<br>Florence, AL<br>Crime Count: 1<br>Enrollment: 7333<br>Rate per 1000 students: 0.1","University of North Alabama<br>Florence, AL<br>Crime Count: 1<br>Enrollment: 7333<br>Rate per 1000 students: 0.1","University of North Alabama<br>Florence, AL<br>Crime Count: 1<br>Enrollment: 7333<br>Rate per 1000 students: 0.1","University of North Alabama<br>Florence, AL<br>Crime Count: 2<br>Enrollment: 7333<br>Rate per 1000 students: 0.3"
71,Oakwood University,Oakwood University,7000 ADVENTIST BLVD NW,HUNTSVILLE,AL,358960003,2,"Private nonprofit, 4-year or above",744.0,1050.0,1794.0,0,0,1,2,"7000 ADVENTIST BLVD NW, HUNTSVILLE, AL, 358960003","[34.7529622, -86.6485379]",34.7529622,-86.6485379,1.1,0.6,0.0,0.0,"Oakwood University<br>Huntsville, AL<br>Crime Count: 2<br>Enrollment: 1794<br>Rate per 1000 students: 1.1","Oakwood University<br>Huntsville, AL<br>Crime Count: 1<br>Enrollment: 1794<br>Rate per 1000 students: 0.6","Oakwood University<br>Huntsville, AL<br>Crime Count: 0<br>Enrollment: 1794<br>Rate per 1000 students: 0.0","Oakwood University<br>Huntsville, AL<br>Crime Count: 0<br>Enrollment: 1794<br>Rate per 1000 students: 0.0"
91,Spring Hill College,Spring Hill College,4000 DAUPHIN ST,MOBILE,AL,366081791,2,"Private nonprofit, 4-year or above",556.0,920.0,1476.0,2,0,0,0,"4000 DAUPHIN ST, MOBILE, AL, 366081791","[30.6870019, -88.1354984]",30.6870019,-88.1354984,0.0,0.0,0.0,1.4,"Spring Hill College<br>Mobile, AL<br>Crime Count: 0<br>Enrollment: 1476<br>Rate per 1000 students: 0.0","Spring Hill College<br>Mobile, AL<br>Crime Count: 0<br>Enrollment: 1476<br>Rate per 1000 students: 0.0","Spring Hill College<br>Mobile, AL<br>Crime Count: 0<br>Enrollment: 1476<br>Rate per 1000 students: 0.0","Spring Hill College<br>Mobile, AL<br>Crime Count: 2<br>Enrollment: 1476<br>Rate per 1000 students: 1.4"
93,Talladega College,Talladega College Main Campus,627 W BATTLE ST,TALLADEGA,AL,35160,2,"Private nonprofit, 4-year or above",352.0,323.0,675.0,1,0,0,1,"627 W BATTLE ST, TALLADEGA, AL, 35160","[33.4327519, -86.1135613]",33.4327519,-86.1135613,1.5,0.0,0.0,1.5,"Talladega College<br>Talladega, AL<br>Crime Count: 1<br>Enrollment: 675<br>Rate per 1000 students: 1.5","Talladega College<br>Talladega, AL<br>Crime Count: 0<br>Enrollment: 675<br>Rate per 1000 students: 0.0","Talladega College<br>Talladega, AL<br>Crime Count: 0<br>Enrollment: 675<br>Rate per 1000 students: 0.0","Talladega College<br>Talladega, AL<br>Crime Count: 1<br>Enrollment: 675<br>Rate per 1000 students: 1.5"
94,H Councill Trenholm State Community College,Main Campus - Trenholm Campus,P.O. Box 10048,MONTGOMERY,AL,361083199,4,"Public, 2-year",811.0,850.0,1661.0,0,0,1,0,"P.O. Box 10048, MONTGOMERY, AL, 361083199","[31.2765941, -85.45508559999999]",31.2765941,-85.4550856,0.0,0.6,0.0,0.0,"H Councill Trenholm State Community College<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 1661<br>Rate per 1000 students: 0.0","H Councill Trenholm State Community College<br>Montgomery, AL<br>Crime Count: 1<br>Enrollment: 1661<br>Rate per 1000 students: 0.6","H Councill Trenholm State Community College<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 1661<br>Rate per 1000 students: 0.0","H Councill Trenholm State Community College<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 1661<br>Rate per 1000 students: 0.0"
98,Troy University,Dothan Campus,501 University Drive,Dothan,AL,363040368,1,"Public, 4-year or above",6871.0,10984.0,17855.0,0,0,1,0,"501 University Drive, Dothan, AL, 363040368","[31.2843392, -85.4702112]",31.2843392,-85.4702112,0.0,0.1,0.0,0.0,"Troy University<br>Dothan, AL<br>Crime Count: 0<br>Enrollment: 17855<br>Rate per 1000 students: 0.0","Troy University<br>Dothan, AL<br>Crime Count: 1<br>Enrollment: 17855<br>Rate per 1000 students: 0.1","Troy University<br>Dothan, AL<br>Crime Count: 0<br>Enrollment: 17855<br>Rate per 1000 students: 0.0","Troy University<br>Dothan, AL<br>Crime Count: 0<br>Enrollment: 17855<br>Rate per 1000 students: 0.0"
106,University of Alaska Anchorage,Anchorage Campus,3211 Providence Dr,Anchorage,AK,99508,1,"Public, 4-year or above",6821.0,9497.0,16318.0,2,0,0,1,"3211 Providence Dr, Anchorage, AK, 99508","[61.19076019999999, -149.8180477]",61.1907602,-149.8180477,0.1,0.0,0.0,0.1,"University of Alaska Anchorage<br>Anchorage, AK<br>Crime Count: 1<br>Enrollment: 16318<br>Rate per 1000 students: 0.1","University of Alaska Anchorage<br>Anchorage, AK<br>Crime Count: 0<br>Enrollment: 16318<br>Rate per 1000 students: 0.0","University of Alaska Anchorage<br>Anchorage, AK<br>Crime Count: 0<br>Enrollment: 16318<br>Rate per 1000 students: 0.0","University of Alaska Anchorage<br>Anchorage, AK<br>Crime Count: 2<br>Enrollment: 16318<br>Rate per 1000 students: 0.1"
123,University of Alaska Southeast,Main Campus/Auke Bay,11066 Auke Lake Way,JUNEAU,AK,99801,1,"Public, 4-year or above",804.0,1759.0,2563.0,0,2,0,0,"11066 Auke Lake Way, JUNEAU, AK, 99801","[58.38552139999999, -134.6407459]",58.3855214,-134.6407459,0.0,0.0,0.8,0.0,"University of Alaska Southeast<br>Juneau, AK<br>Crime Count: 0<br>Enrollment: 2563<br>Rate per 1000 students: 0.0","University of Alaska Southeast<br>Juneau, AK<br>Crime Count: 0<br>Enrollment: 2563<br>Rate per 1000 students: 0.0","University of Alaska Southeast<br>Juneau, AK<br>Crime Count: 2<br>Enrollment: 2563<br>Rate per 1000 students: 0.8","University of Alaska Southeast<br>Juneau, AK<br>Crime Count: 0<br>Enrollment: 2563<br>Rate per 1000 students: 0.0"
142,Alaska Career College,Main Campus,1415 E Tudor Road,Anchorage,AK,995071033,6,"Private for-profit, 2-year",73.0,351.0,424.0,0,0,2,0,"1415 E Tudor Road, Anchorage, AK, 995071033","[61.18136479999999, -149.8570744]",61.1813648,-149.8570744,0.0,4.7,0.0,0.0,"Alaska Career College<br>Anchorage, AK<br>Crime Count: 0<br>Enrollment: 424<br>Rate per 1000 students: 0.0","Alaska Career College<br>Anchorage, AK<br>Crime Count: 2<br>Enrollment: 424<br>Rate per 1000 students: 4.7","Alaska Career College<br>Anchorage, AK<br>Crime Count: 0<br>Enrollment: 424<br>Rate per 1000 students: 0.0","Alaska Career College<br>Anchorage, AK<br>Crime Count: 0<br>Enrollment: 424<br>Rate per 1000 students: 0.0"
144,Thunderbird School of Global Management,MAIN CAMPUS,1 Global Place,GLENDALE,AZ,853066000,1,"Public, 4-year or above",167.0,130.0,297.0,1,1,0,0,"1 Global Place, GLENDALE, AZ, 853066000","[33.6224893, -112.1825592]",33.6224893,-112.1825592,0.0,0.0,3.4,3.4,"Thunderbird School of Global Management<br>Glendale, AZ<br>Crime Count: 0<br>Enrollment: 297<br>Rate per 1000 students: 0.0","Thunderbird School of Global Management<br>Glendale, AZ<br>Crime Count: 0<br>Enrollment: 297<br>Rate per 1000 students: 0.0","Thunderbird School of Global Management<br>Glendale, AZ<br>Crime Count: 1<br>Enrollment: 297<br>Rate per 1000 students: 3.4","Thunderbird School of Global Management<br>Glendale, AZ<br>Crime Count: 1<br>Enrollment: 297<br>Rate per 1000 students: 3.4"
155,Arizona State University-Tempe,Tempe Campus,325 E. Apache Blvd.,TEMPE,AZ,852871812,1,"Public, 4-year or above",29828.0,22041.0,51869.0,19,13,6,8,"325 E. Apache Blvd., TEMPE, AZ, 852871812","[33.4143327, -111.9344567]",33.4143327,-111.9344567,0.2,0.1,0.3,0.4,"Arizona State University-Tempe<br>Tempe, AZ<br>Crime Count: 8<br>Enrollment: 51869<br>Rate per 1000 students: 0.2","Arizona State University-Tempe<br>Tempe, AZ<br>Crime Count: 6<br>Enrollment: 51869<br>Rate per 1000 students: 0.1","Arizona State University-Tempe<br>Tempe, AZ<br>Crime Count: 13<br>Enrollment: 51869<br>Rate per 1000 students: 0.3","Arizona State University-Tempe<br>Tempe, AZ<br>Crime Count: 19<br>Enrollment: 51869<br>Rate per 1000 students: 0.4"
157,Arizona Western College,Main Campus,2020 S. Avenue 8E,YUMA,AZ,85365,4,"Public, 2-year",3314.0,4255.0,7569.0,0,1,0,0,"2020 S. Avenue 8E, YUMA, AZ, 85365","[32.688474, -114.4948775]",32.688474,-114.4948775,0.0,0.0,0.1,0.0,"Arizona Western College<br>Yuma, AZ<br>Crime Count: 0<br>Enrollment: 7569<br>Rate per 1000 students: 0.0","Arizona Western College<br>Yuma, AZ<br>Crime Count: 0<br>Enrollment: 7569<br>Rate per 1000 students: 0.0","Arizona Western College<br>Yuma, AZ<br>Crime Count: 1<br>Enrollment: 7569<br>Rate per 1000 students: 0.1","Arizona Western College<br>Yuma, AZ<br>Crime Count: 0<br>Enrollment: 7569<br>Rate per 1000 students: 0.0"
162,University of Arizona,Main Campus,1200 E. Univeristy,TUCSON,AZ,857210021,1,"Public, 4-year or above",20807.0,22354.0,43161.0,13,3,0,5,"1200 E. Univeristy, TUCSON, AZ, 857210021","[32.23188, -110.953889]",32.23188,-110.953889,0.1,0.0,0.1,0.3,"University of Arizona<br>Tucson, AZ<br>Crime Count: 5<br>Enrollment: 43161<br>Rate per 1000 students: 0.1","University of Arizona<br>Tucson, AZ<br>Crime Count: 0<br>Enrollment: 43161<br>Rate per 1000 students: 0.0","University of Arizona<br>Tucson, AZ<br>Crime Count: 3<br>Enrollment: 43161<br>Rate per 1000 students: 0.1","University of Arizona<br>Tucson, AZ<br>Crime Count: 13<br>Enrollment: 43161<br>Rate per 1000 students: 0.3"
165,Central Arizona College,Main Campus-Signal Peak,8470 N OVERFIELD RD,COOLIDGE,AZ,851289778,4,"Public, 2-year",2105.0,3480.0,5585.0,0,1,0,2,"8470 N OVERFIELD RD, COOLIDGE, AZ, 851289778","[32.9577551, -111.6521557]",32.9577551,-111.6521557,0.4,0.0,0.2,0.0,"Central Arizona College<br>Coolidge, AZ<br>Crime Count: 2<br>Enrollment: 5585<br>Rate per 1000 students: 0.4","Central Arizona College<br>Coolidge, AZ<br>Crime Count: 0<br>Enrollment: 5585<br>Rate per 1000 students: 0.0","Central Arizona College<br>Coolidge, AZ<br>Crime Count: 1<br>Enrollment: 5585<br>Rate per 1000 students: 0.2","Central Arizona College<br>Coolidge, AZ<br>Crime Count: 0<br>Enrollment: 5585<br>Rate per 1000 students: 0.0"
186,Glendale Community College,Main Campus,6000 W OLIVE AVE,GLENDALE,AZ,85302,4,"Public, 2-year",8760.0,10240.0,19000.0,0,1,0,0,"6000 W OLIVE AVE, GLENDALE, AZ, 85302","[33.5712484, -112.1874521]",33.5712484,-112.1874521,0.0,0.0,0.1,0.0,"Glendale Community College<br>Glendale, AZ<br>Crime Count: 0<br>Enrollment: 19000<br>Rate per 1000 students: 0.0","Glendale Community College<br>Glendale, AZ<br>Crime Count: 0<br>Enrollment: 19000<br>Rate per 1000 students: 0.0","Glendale Community College<br>Glendale, AZ<br>Crime Count: 1<br>Enrollment: 19000<br>Rate per 1000 students: 0.1","Glendale Community College<br>Glendale, AZ<br>Crime Count: 0<br>Enrollment: 19000<br>Rate per 1000 students: 0.0"
188,Grand Canyon University,Grand Canyon University,3300 W CAMELBACK RD,PHOENIX,AZ,85017,3,"Private for-profit, 4-year or above",20397.0,55437.0,75834.0,6,6,0,3,"3300 W CAMELBACK RD, PHOENIX, AZ, 85017","[33.5125699, -112.127371]",33.5125699,-112.127371,0.0,0.0,0.1,0.1,"Grand Canyon University<br>Phoenix, AZ<br>Crime Count: 3<br>Enrollment: 75834<br>Rate per 1000 students: 0.0","Grand Canyon University<br>Phoenix, AZ<br>Crime Count: 0<br>Enrollment: 75834<br>Rate per 1000 students: 0.0","Grand Canyon University<br>Phoenix, AZ<br>Crime Count: 6<br>Enrollment: 75834<br>Rate per 1000 students: 0.1","Grand Canyon University<br>Phoenix, AZ<br>Crime Count: 6<br>Enrollment: 75834<br>Rate per 1000 students: 0.1"
191,Mesa Community College,Mesa Community College,1833 W SOUTHERN AVE,MESA,AZ,85202,4,"Public, 2-year",9890.0,10618.0,20508.0,0,1,0,0,"1833 W SOUTHERN AVE, MESA, AZ, 85202","[33.3896376, -111.8694973]",33.3896376,-111.8694973,0.0,0.0,0.0,0.0,"Mesa Community College<br>Mesa, AZ<br>Crime Count: 0<br>Enrollment: 20508<br>Rate per 1000 students: 0.0","Mesa Community College<br>Mesa, AZ<br>Crime Count: 0<br>Enrollment: 20508<br>Rate per 1000 students: 0.0","Mesa Community College<br>Mesa, AZ<br>Crime Count: 1<br>Enrollment: 20508<br>Rate per 1000 students: 0.0","Mesa Community College<br>Mesa, AZ<br>Crime Count: 0<br>Enrollment: 20508<br>Rate per 1000 students: 0.0"
